2019-12-09 12:18:57.733886: I tensorflow/core/platform/cpu_feature_guard.cc:142] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2019-12-09 12:18:57.739778: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2294570000 Hz
2019-12-09 12:18:57.740889: I tensorflow/compiler/xla/service/service.cc:168] XLA service 0x7fe455015c90 executing computations on platform Host. Devices:
2019-12-09 12:18:57.740913: I tensorflow/compiler/xla/service/service.cc:175]   StreamExecutor device (0): Host, Default Version
2019-12-09 12:19:16.724919: W tensorflow/core/grappler/optimizers/implementation_selector.cc:310] Skipping optimization due to error while loading function libraries: Invalid argument: Functions '__inference___backward_standard_gru_13932_14308' and '__inference___backward_standard_gru_13932_14308_specialized_for_StatefulPartitionedCall_4_at___inference_train_step_14892' both implement 'gru_21d0a1fd-6bb2-44d6-a740-33f71e9bdef4' but their signatures do not match.
HBox(children=(IntProgress(value=0), HTML(value='')))

36602
Model: "generate_scores_rnn"
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
input_1 (InputLayer)         [(None, 50)]              0         
_________________________________________________________________
embedding (Embedding)        (None, 50, 100)           3660300   
_________________________________________________________________
bidirectional (Bidirectional (None, 50, 256)           176640    
_________________________________________________________________
seq_self_attention (SeqSelfA [(None, 50, 256), (None,  65537     
_________________________________________________________________
dropout (Dropout)            (None, 50, 256)           0         
_________________________________________________________________
bidirectional_1 (Bidirection (None, 50, 256)           296448    
_________________________________________________________________
seq_self_attention_1 (SeqSel [(None, 50, 256), (None,  65537     
_________________________________________________________________
dropout_1 (Dropout)          (None, 50, 256)           0         
_________________________________________________________________
bidirectional_2 (Bidirection (None, 256)               296448    
_________________________________________________________________
dropout_2 (Dropout)          (None, 256)               0         
_________________________________________________________________
dense (Dense)                (None, 64)                16448     
_________________________________________________________________
leaky_re_lu (LeakyReLU)      (None, 64)                0         
_________________________________________________________________
dense_1 (Dense)              (None, 36603)             2379195   
=================================================================
Total params: 6,956,553
Trainable params: 6,956,553
Non-trainable params: 0
_________________________________________________________________
Optimizer: <class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>
HBox(children=(IntProgress(value=0, description='epochs', max=50, style=ProgressStyle(description_width='initial')), HTML(value='')))
HBox(children=(IntProgress(value=0, description='MUSIC', max=7, style=ProgressStyle(description_width='initial')), HTML(value='')))
HBox(children=(IntProgress(value=0, max=345), HTML(value='')))
epochs 1 | Steps 20 | total loss : 20175.041015625
epochs 1 | Steps 40 | total loss : 40350.0078125
epochs 1 | Steps 60 | total loss : 60524.875
epochs 1 | Steps 80 | total loss : 80699.6796875
epochs 1 | Steps 100 | total loss : 100874.375
epochs 1 | Steps 120 | total loss : 121048.953125
epochs 1 | Steps 140 | total loss : 141223.4375
epochs 1 | Steps 160 | total loss : 161397.8125
epochs 1 | Steps 180 | total loss : 181572.109375
epochs 1 | Steps 200 | total loss : 201746.359375
epochs 1 | Steps 220 | total loss : 221920.53125
epochs 1 | Steps 240 | total loss : 242094.53125
epochs 1 | Steps 260 | total loss : 262268.4375
epochs 1 | Steps 280 | total loss : 282442.15625
epochs 1 | Steps 300 | total loss : 302615.8125
epochs 1 | Steps 320 | total loss : 322789.4375
epochs 1 | Steps 340 | total loss : 342962.96875
HBox(children=(IntProgress(value=0, max=497), HTML(value='')))
epochs 1 | Steps 360 | total loss : 362127.875
epochs 1 | Steps 380 | total loss : 382301.375
epochs 1 | Steps 400 | total loss : 402474.8125
epochs 1 | Steps 420 | total loss : 422648.0625
epochs 1 | Steps 440 | total loss : 442821.09375
epochs 1 | Steps 460 | total loss : 462994.15625
epochs 1 | Steps 480 | total loss : 483167.0625
epochs 1 | Steps 500 | total loss : 503339.71875
epochs 1 | Steps 520 | total loss : 523512.25
epochs 1 | Steps 540 | total loss : 543684.6875
epochs 1 | Steps 560 | total loss : 563857.125
epochs 1 | Steps 580 | total loss : 584029.375
epochs 1 | Steps 600 | total loss : 604201.0625
epochs 1 | Steps 620 | total loss : 624372.9375
epochs 1 | Steps 640 | total loss : 644544.6875
epochs 1 | Steps 660 | total loss : 664715.8125
epochs 1 | Steps 680 | total loss : 684887.25
epochs 1 | Steps 700 | total loss : 705058.25
epochs 1 | Steps 720 | total loss : 725229.375
epochs 1 | Steps 740 | total loss : 745399.9375
epochs 1 | Steps 760 | total loss : 765570.3125
epochs 1 | Steps 780 | total loss : 785740.0
epochs 1 | Steps 800 | total loss : 805909.8125
epochs 1 | Steps 820 | total loss : 826079.625
epochs 1 | Steps 840 | total loss : 846249.3125
HBox(children=(IntProgress(value=0, max=488), HTML(value='')))
epochs 1 | Steps 860 | total loss : 865407.875
epochs 1 | Steps 880 | total loss : 885574.1875
epochs 1 | Steps 900 | total loss : 905739.5625
epochs 1 | Steps 920 | total loss : 925904.875
epochs 1 | Steps 940 | total loss : 946069.25
epochs 1 | Steps 960 | total loss : 966232.375
epochs 1 | Steps 980 | total loss : 986394.75
